Region,Site Name,HWISE Version,Current Status,Implementing Partners,Details,Setting,Sampling Strategy,Cognitive Interviewing,Participants,Dates of Data Collection,Sex,Main Sources of Drinking Water,"Main climate, precipitation (Köppen climate type)",GNI,Income Classification (2017 World Bank)
Africa,"Kahemba, Democratic Republic of Congo",1,Complete,"Oregon Health Sciences University, Michigan State University",NCT03157336: Toxicodietary and genetic determinants of susceptibility to neurodegeneration,Peri-urban,Cluster randomized control trial,No,392,"June 17, 2017 - September 20, 2017",Male (34.4%) Female (65.6%),Surface water (99.7%),"Equatorial, winter dry (Aw)",420,Low income
Africa,"Bahir Dar, Ethiopia",1,Complete,Oregon State University,"The Women’s Development Army in rural Ethiopia: discourses and experiences of health worker status, motivation, and well-being",Rural,Stratified random,No,259,"July 19, 2017 - August 1, 2017",Female (100%),Unprotected dug well (25.1%) Rainwater collection (20.9%),"Warm temperature, winter dry, warm summer (Cwb)",660,Low income
Africa,"Accra, Ghana",1,Complete,"University of Miami, Delaware State University, and Ghana Water Company",Standalone HWISE survey,Peri-urban,Cluster random,Yes,229,"June 7, 2017 - June 13, 2017",Male (21.8%) Female (78.2%),Bagged/sachet water (86.0%),"Equatorial, winter dry (AW)",1380,Lower middle income
Africa,"Seme, Kenya",1,Complete,"Pamoja Community Based Organization, Northwestern University ",Standalone HWISE survey,Rural,Simple random,Yes,247,"July 12, 2017 - July 29, 2017",Missing,Surface water (17.4%) Borehole/tubewell (16.2%) Rainwater collection (13.8%),"Equatorial, fully humid (Af)",1380,Lower middle income
Africa,"Lilongwe, Malawi",1,Complete,Georgia State University,Standalone HWISE survey,Peri-urban,Cluster random,No,302,"July 15, 2017 - July 21, 2017",Male (13.3%) Female (86.8%),Stand pipe (45.4%) Piped water (42.1%),"Warm temperature, winter dry, hot summer (Cwa)",320,Low income
Africa,"Lagos, Nigeria",1,Complete,"College of Medicine at the University of Lagos, Northwestern University",Standalone HWISE survey,Urban,Multi-stage random sampling,Yes,239,"June 3, 2017 - August 30, 2017",Male (26.5%) Female (73.5%),Bagged/sachet water (49.0%) Borehole/tubewell (34.7%),"Equatorial, winter dry (Aw)",2450,Lower middle income
Africa,"Singida, Tanzania",1,Complete,"Cornell University, Northwestern University",NCT02761876: Singida Nutrition and Agroecology Project,Rural,"Purposive, community led",No,1006,"July 6, 2017 - August 28, 2017",Male (45.8%) Female (54.2%),Stand pipe (47.8%) Unprotected dug well (18.6%),"Equatorial, winter dry (Aw)",900,Low income
Africa,"Arua, Uganda",1,Complete,Michigan State University,Standalone HWISE survey,Rural,Cluster random,No,250,"August 12, 2017 - September 25, 2017",Male (14.4%) Female (85.6%),Protected dug well (64.8%) Unprotected spring (19.6%),"Equatorial, winter dry (Aw)",660,Low income
Africa,"Kampala, Uganda",1,Complete,"T-Group Kampala, University of Amsterdam",Standalone HWISE survey,Peri-urban,Simple random,No,246,"August 13, 2017 - August 20, 2017",Male (30.9%) Female (69.1%),Stand pipe (68.3%) Unprotected dug well (10.6%),"Equatorial, winter dry (Aw)",660,Low income
East Asia and Pacific,"Labuan Bajo, Indonesia",2,Complete,University of the West of England,Standalone HWISE survey,Urban,Cluster random,No,279,"May 23, 2018 - May 28, 2018",Male (55.2%) Female (44.8%),Bagged/sachet water (36.9%) Protected spring (12.9%),"Equatorial, fully humid (Af)",3400,Lower middle income
